SOURCE_DISPLAY_NAME,SOURCE_DRIVER_CLASS,SOURCE_JDBC_URL,SOURCE_USERNAME,SOURCE_ODBC_DSN,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_CATALOG,SOURCE_TABLE,SOURCE_COLUMN,TARGET_DISPLAY_NAME,TARGET_DRIVER_CLASS,TARGET_JDBC_URL,TARGET_USERNAME,TARGET_ODBC_DSN,TARGET_DATABASE,TARGET_SCHEMA,TARGET_CATALOG,TARGET_TABLE,TARGET_COLUMN
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","id","PlayPen Database",,,,,"PlayPen Database","","","applicants","id"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","extuid","PlayPen Database",,,,,"PlayPen Database","","","applicants","extuid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","identificationtype","PlayPen Database",,,,,"PlayPen Database","","","applicants","identificationtype"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","identificationcenter","PlayPen Database",,,,,"PlayPen Database","","","applicants","identificationcenter"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","identificationexecutivecenter","PlayPen Database",,,,,"PlayPen Database","","","applicants","identificationexecutivecenter"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","province","PlayPen Database",,,,,"PlayPen Database","","","applicants","province"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","applicants","city","PlayPen Database",,,,,"PlayPen Database","","","applicants","city"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","id","PlayPen Database",,,,,"PlayPen Database","","","auth_users","id"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","extuid","PlayPen Database",,,,,"PlayPen Database","","","auth_users","extuid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","username","PlayPen Database",,,,,"PlayPen Database","","","auth_users","username"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","password","PlayPen Database",,,,,"PlayPen Database","","","auth_users","password"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","enabled","PlayPen Database",,,,,"PlayPen Database","","","auth_users","enabled"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","firstname","PlayPen Database",,,,,"PlayPen Database","","","auth_users","firstname"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","lastname","PlayPen Database",,,,,"PlayPen Database","","","auth_users","lastname"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","auth_users","phonenumber","PlayPen Database",,,,,"PlayPen Database","","","auth_users","phonenumber"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_members","comissionproceedingid","PlayPen Database",,,,,"PlayPen Database","","","comission_members","comissionproceedingid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_members","memberid","PlayPen Database",,,,,"PlayPen Database","","","comission_members","memberid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","id","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","id"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","extuid","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","extuid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","comissiondate","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","comissiondate"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","proceedingfile","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","proceedingfile"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","indigentfileid","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","indigentfileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","decision","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","decision"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","comission_proceedings","decisiondescription","PlayPen Database",,,,,"PlayPen Database","","","comission_proceedings","decisiondescription"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","convict_files","fileid","PlayPen Database",,,,,"PlayPen Database","","","convict_files","fileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","convict_files","reason","PlayPen Database",,,,,"PlayPen Database","","","convict_files","reason"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","convict_files","amount","PlayPen Database",,,,,"PlayPen Database","","","convict_files","amount"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","convict_files","convicttimeindays","PlayPen Database",,,,,"PlayPen Database","","","convict_files","convicttimeindays"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","convict_files","startdate","PlayPen Database",,,,,"PlayPen Database","","","convict_files","startdate"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","debtor_files","fileid","PlayPen Database",,,,,"PlayPen Database","","","debtor_files","fileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","debtor_files","reason","PlayPen Database",,,,,"PlayPen Database","","","debtor_files","reason"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","debtor_files","amount","PlayPen Database",,,,,"PlayPen Database","","","debtor_files","amount"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","debtor_files","creditor","PlayPen Database",,,,,"PlayPen Database","","","debtor_files","creditor"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disaster_indigent_files","fileid","PlayPen Database",,,,,"PlayPen Database","","","disaster_indigent_files","fileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disaster_indigent_files","type","PlayPen Database",,,,,"PlayPen Database","","","disaster_indigent_files","type"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disaster_indigent_files","date","PlayPen Database",,,,,"PlayPen Database","","","disaster_indigent_files","date"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disaster_indigent_files","cost","PlayPen Database",,,,,"PlayPen Database","","","disaster_indigent_files","cost"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disastered_items","indigentfileid","PlayPen Database",,,,,"PlayPen Database","","","disastered_items","indigentfileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","disastered_items","disastereditem","PlayPen Database",,,,,"PlayPen Database","","","disastered_items","disastereditem"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","economic_problem_files","fileid","PlayPen Database",,,,,"PlayPen Database","","","economic_problem_files","fileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","economic_problem_files","reason","PlayPen Database",,,,,"PlayPen Database","","","economic_problem_files","reason"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","fileid","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","fileid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","titleid","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","titleid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","sickreason","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","sickreason"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","sickness","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","sickness"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","startdate","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","startdate"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","severity","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","severity"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","elderly_care_files","monthlycost","PlayPen Database",,,,,"PlayPen Database","","","elderly_care_files","monthlycost"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","features","id","PlayPen Database",,,,,"PlayPen Database","","","features","id"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","features","extuid","PlayPen Database",,,,,"PlayPen Database","","","features","extuid"
"igns","org.postgresql.Driver","jdbc:postgresql://localhost:5432/igns","viratech",,"igns","igns","igns","features","name","PlayPen Database",,,,,"PlayPen Database","","","features","name"
